Comp,Temp,Data,Casa,GC,GF,Fora,Res,PC,PF,J
Série A,1976,1976-08-29,Mixto-MT,1,1,Goiás,E,1,1,1
Série A,1976,1976-08-29,Remo,2,0,Ceará,VC,3,0,2
Série A,1976,1976-08-29,Corinthians,2,1,Fortaleza,VC,3,0,3
Série A,1976,1976-08-29,Coritiba,0,2,São Paulo,VV,0,3,4
Série A,1976,1976-08-29,Sampaio Corrêa,0,0,Flamengo-PI,E,1,1,5
Série A,1976,1976-08-29,Sport,1,0,ABC,VC,3,0,6
Série A,1976,1976-08-29,Rio Negro-AM,0,3,Guarani,VV,0,3,7
Série A,1976,1976-08-29,América-RN,0,0,Santa Cruz,E,1,1,8
Série A,1976,1976-08-29,Treze,0,2,CRB,VV,0,3,9
Série A,1976,1976-08-29,Fluminense-BA,0,0,CSA,E,1,1,10
Série A,1976,1976-08-29,Confiança,2,1,Portuguesa,VC,3,0,11
Série A,1976,1976-08-29,Londrina,0,3,Atlético-PR,VV,0,3,12
Série A,1976,1976-08-29,América-MG,6,0,Goiânia,VC,3,0,13
Série A,1976,1976-08-29,Botafogo-PB,1,0,Vitória,VC,3,0,14
Série A,1976,1976-09-01,Uberaba,0,0,Atlético-PR,E,1,1,15
Série A,1976,1976-09-01,Sampaio Corrêa,0,2,Santa Cruz,VV,0,3,16
Série A,1976,1976-09-01,Flamengo,2,0,ABC,VC,3,0,17
Série A,1976,1976-09-01,Londrina,0,0,São Paulo,E,1,1,18
Série A,1976,1976-09-01,Internacional,6,0,Figueirense,VC,3,0,19
Série A,1976,1976-09-01,Ponte Preta,1,1,Corinthians,E,1,1,20
Série A,1976,1976-09-01,Rio Negro-AM,1,1,Ceará,E,1,1,21
Série A,1976,1976-09-01,Fluminense,1,1,CSA,E,1,1,22
Série A,1976,1976-09-01,Treze,0,2,Vitória,VV,0,3,23
Série A,1976,1976-09-01,Botafogo-PB,0,0,Botafogo,E,1,1,24
Série A,1976,1976-09-01,Fluminense-BA,0,2,Bahia,VV,0,3,25
Série A,1976,1976-09-01,Americano,1,2,Goiás,VV,0,3,26
Série A,1976,1976-09-01,Goiânia,1,1,Atlético-MG,E,1,1,27
Série A,1976,1976-09-01,Mixto-MT,1,1,Operário-MS,E,1,1,28
Série A,1976,1976-09-01,Remo,0,0,Guarani,E,1,1,29
Série A,1976,1976-09-01,Volta Redonda,1,1,América-RN,E,1,1,30
Série A,1976,1976-09-01,Náutico,3,0,Flamengo-PI,VC,3,0,31
Série A,1976,1976-09-01,Vasco,1,0,América-MG,VC,3,0,32
Série A,1976,1976-09-01,Santos,2,1,Caxias,VC,3,0,33
Série A,1976,1976-09-01,Rio Branco-ES,1,4,Grêmio,VV,0,3,34
Série A,1976,1976-09-02,Paysandu,3,0,Nacional-AM,VC,3,0,35
Série A,1976,1976-09-04,Grêmio,1,0,Caxias,VC,3,0,36
Série A,1976,1976-09-04,Desportiva Capixaba,0,1,Palmeiras,VV,0,3,37
Série A,1976,1976-09-04,Vasco,1,0,Goiás,VC,3,0,38
Série A,1976,1976-09-04,Figueirense,1,4,Santos,VV,0,3,39
Série A,1976,1976-09-04,Vitória,3,1,CSA,VC,3,0,40
Série A,1976,1976-09-04,Treze,2,4,Botafogo,VV,0,3,41
Série A,1976,1976-09-04,Fortaleza,1,0,Remo,VC,3,0,42
