Data,Casa,GC,GF,Fora
1961-07-02,Comercial (RP),1,0,Esportiva
1961-07-02,Jabaquara,3,1,Port. Santista
1961-07-02,Corinthians,1,2,Guarani
1961-07-02,Portuguesa,3,1,Juventus
1961-07-02,Ferroviária,7,2,Taubaté
1961-07-02,XV de Piracicaba,2,1,Noroeste
1961-07-05,Botafogo,0,1,Ferroviária
1961-07-05,Port. Santista,1,2,XV de Piracicaba
1961-07-05,São Paulo,3,1,Comercial (RP)
1961-07-08,Palmeiras,6,0,Port. Santista
1961-07-09,Guarani,2,0,Juventus
1961-07-09,São Paulo,3,1,Ferroviária
1961-07-09,Botafogo,3,2,XV de Piracicaba
1961-07-09,Noroeste,2,4,Portuguesa
1961-07-09,Taubaté,5,3,Jabaquara
1961-07-09,Esportiva,3,0,Corinthians
1961-07-09,Santos,1,0,Comercial (RP)
1961-07-15,Portuguesa,5,1,Jabaquara
1961-07-16,Comercial (RP),1,4,Palmeiras
1961-07-16,Noroeste,3,0,São Paulo
1961-07-16,Corinthians,2,2,Botafogo
1961-07-16,Port. Santista,0,0,Santos
1961-07-16,Juventus,0,2,Esportiva
1961-07-16,XV de Piracicaba,2,1,Guarani
1961-07-19,São Paulo,1,0,Corinthians
1961-07-19,Taubaté,1,0,Juventus
1961-07-23,Ferroviária,2,0,Port. Santista
1961-07-23,Taubaté,0,0,Santos
1961-07-23,Guarani,2,1,Noroeste
1961-07-23,XV de Piracicaba,4,1,Juventus
1961-07-23,Botafogo,3,2,Portuguesa
1961-07-23,Jabaquara,2,1,Corinthians
1961-07-29,São Paulo,3,1,Jabaquara
1961-07-30,Comercial (RP),1,1,Noroeste
1961-07-30,Guarani,2,0,Port. Santista
1961-07-30,Taubaté,0,1,Portuguesa
1961-07-30,Corinthians,2,1,XV de Piracicaba
1961-07-30,Juventus,0,2,Botafogo
1961-07-30,Esportiva,3,2,Ferroviária
1961-07-30,Santos,2,1,Palmeiras
1961-08-02,Jabaquara,1,3,Esportiva
1961-08-02,Palmeiras,2,1,Guarani
1961-08-05,Port. Santista,2,0,Botafogo
1961-08-06,Guarani,0,3,Comercial (RP)
1961-08-06,Santos,4,0,Jabaquara
1961-08-06,Esportiva,1,3,São Paulo
1961-08-06,Noroeste,6,1,Taubaté
1961-08-06,XV de Piracicaba,2,1,Portuguesa
1961-08-06,Ferroviária,2,1,Corinthians
1961-08-06,Palmeiras,5,0,Juventus
1961-08-09,Santos,3,1,Guarani
1961-08-09,Ferroviária,3,1,XV de Piracicaba
1961-08-12,Corinthians,1,1,Juventus
1961-08-13,Guarani,2,0,Esportiva
1961-08-13,São Paulo,6,1,Portuguesa
1961-08-13,Jabaquara,1,3,Ferroviária
1961-08-13,Taubaté,1,2,Palmeiras
1961-08-13,Comercial (RP),1,0,Port. Santista
1961-08-13,Noroeste,1,7,Santos
1961-08-16,Corinthians,1,5,Santos
1961-08-16,Jabaquara,3,0,Noroeste
1961-08-16,Botafogo,2,1,Taubaté
1961-08-19,Santos,6,1,XV de Piracicaba
1961-08-19,Corinthians,1,0,Taubaté
1961-08-20,Noroeste,1,2,Juventus
1961-08-20,Ferroviária,2,1,Comercial (RP)
1961-08-20,Palmeiras,0,0,São Paulo
1961-08-20,Guarani,3,1,Botafogo
1961-08-20,Port. Santista,0,2,Portuguesa
1961-08-23,Port. Santista,2,1,Juventus
1961-08-23,São Paulo,3,1,XV de Piracicaba
1961-08-23,Taubaté,1,2,Comercial (RP)
1961-08-27,Comercial (RP),3,2,Corinthians
1961-08-27,Noroeste,0,0,Ferroviária
1961-08-27,Esportiva,3,1,Botafogo
1961-08-27,São Paulo,3,0,Taubaté
1961-08-27,Jabaquara,0,2,Guarani
1961-08-27,XV de Piracicaba,1,4,Palmeiras
1961-08-30,Botafogo,2,1,Noroeste
1961-08-30,Jabaquara,0,0,Comercial (RP)
1961-08-30,Portuguesa,1,1,Palmeiras
1961-09-02,Port. Santista,2,1,Taubaté
1961-09-03,Ferroviária,2,2,Palmeiras
1961-09-03,XV de Piracicaba,1,1,Comercial (RP)
1961-09-03,Botafogo,1,0,Jabaquara
1961-09-03,Guarani,3,1,Portuguesa
1961-09-03,Esportiva,3,3,Noroeste
1961-09-03,São Paulo,3,6,Santos
1961-09-06,Portuguesa,3,1,Esportiva
1961-09-06,Santos,10,1,Juventus
1961-09-09,Portuguesa,2,1,Comercial (RP)
1961-09-10,Guarani,3,0,São Paulo
1961-09-10,XV de Piracicaba,4,3,Jabaquara
1961-09-10,Botafogo,0,3,Santos
1961-09-10,Juventus,2,7,Ferroviária
1961-09-10,Esportiva,2,0,Port. Santista
1961-09-10,Noroeste,1,2,Corinthians
1961-09-13,Taubaté,1,2,XV de Piracicaba
1961-09-13,Palmeiras,1,1,Corinthians
1961-09-13,Santos,5,1,Esportiva
1961-09-16,Juventus,3,1,Jabaquara
1961-09-16,Palmeiras,5,0,Noroeste
1961-09-17,Comercial (RP),1,2,Botafogo
1961-09-17,Santos,6,1,Portuguesa
1961-09-17,Esportiva,3,3,Taubaté
1961-09-17,São Paulo,5,3,Port. Santista
1961-09-17,Ferroviária,4,1,Guarani
1961-09-20,São Paulo,5,0,Juventus
1961-09-20,Port. Santista,2,3,Corinthians
1961-09-23,Port. Santista,3,1,Noroeste
1961-09-23,Botafogo,2,2,São Paulo
1961-09-23,Corinthians,3,1,Portuguesa
1961-09-24,Jabaquara,3,4,Palmeiras
1961-09-24,Comercial (RP),3,0,Juventus
1961-09-24,Taubaté,2,3,Guarani
1961-09-24,Ferroviária,0,1,Santos
1961-09-24,XV de Piracicaba,2,2,Esportiva
1961-09-27,Portuguesa,4,1,Ferroviária
1961-09-30,Juventus,2,0,XV de Piracicaba
1961-09-30,Port. Santista,0,1,Esportiva
1961-10-01,Corinthians,2,1,Jabaquara
1961-10-01,Taubaté,2,1,Botafogo
1961-10-01,Ferroviária,3,1,Noroeste
1961-10-01,Portuguesa,3,1,Guarani
1961-10-04,Palmeiras,2,1,Esportiva
1961-10-04,Botafogo,1,0,Juventus
1961-10-04,Jabaquara,2,0,Taubaté
1961-10-07,Corinthians,1,0,Port. Santista
1961-10-08,Esportiva,1,2,Juventus
1961-10-08,XV de Piracicaba,1,1,Ferroviária
1961-10-08,Noroeste,4,0,Jabaquara
1961-10-08,Comercial (RP),2,1,São Paulo
1961-10-08,Palmeiras,3,0,Botafogo
1961-10-11,Palmeiras,5,0,Taubaté
1961-10-11,Corinthians,6,0,Esportiva
1961-10-11,São Paulo,5,2,Guarani
1961-10-11,Jabaquara,2,1,Santos
1961-10-15,Ferroviária,2,2,São Paulo
1961-10-15,Portuguesa,4,3,Juventus
1961-10-15,Guarani,1,0,XV de Piracicaba
1961-10-15,Santos,4,1,Botafogo
1961-10-15,Comercial (RP),2,0,Jabaquara
1961-10-15,Noroeste,3,2,Esportiva
1961-10-15,Taubaté,2,2,Corinthians
1961-10-18,Botafogo,2,2,Esportiva
1961-10-18,Portuguesa,3,1,Noroeste
1961-10-18,Santos,5,2,Port. Santista
1961-10-21,São Paulo,2,0,Botafogo
1961-10-22,Esportiva,1,2,Jabaquara
1961-10-22,XV de Piracicaba,3,1,Port. Santista
1961-10-22,Comercial (RP),1,1,Ferroviária
1961-10-22,Guarani,1,2,Santos
1961-10-22,Corinthians,1,0,Juventus
1961-10-22,Noroeste,2,4,Palmeiras
1961-10-25,Jabaquara,4,2,XV de Piracicaba
1961-10-25,Taubaté,4,0,Port. Santista
1961-10-26,Corinthians,1,1,Palmeiras
1961-10-28,Port. Santista,1,2,São Paulo
1961-10-28,Portuguesa,1,3,Santos
1961-10-29,Corinthians,1,2,Ferroviária
1961-10-29,Noroeste,1,1,Botafogo
1961-10-29,Guarani,2,0,Palmeiras
1961-10-29,Jabaquara,0,2,Juventus
1961-10-31,São Paulo,4,1,Esportiva
1961-11-01,Juventus,1,3,Santos
1961-11-01,XV de Piracicaba,0,1,Taubaté
1961-11-01,Noroeste,3,0,Port. Santista
1961-11-01,Jabaquara,0,3,Portuguesa
1961-11-01,Palmeiras,3,0,Comercial (RP)
1961-11-04,Palmeiras,4,2,Juventus
1961-11-04,Santos,4,2,Taubaté
1961-11-05,Comercial (RP),0,0,Guarani
1961-11-05,Portuguesa,2,0,Port. Santista
1961-11-05,Ferroviária,2,0,Esportiva
1961-11-05,XV de Piracicaba,2,2,Corinthians
1961-11-05,Jabaquara,0,1,São Paulo
1961-11-08,Esportiva,0,4,Santos
1961-11-08,São Paulo,0,0,Corinthians
1961-11-08,Botafogo,0,0,Comercial (RP)
1961-11-12,Ferroviária,0,0,Portuguesa
1961-11-12,Port. Santista,0,1,Guarani
1961-11-12,Juventus,1,0,Taubaté
1961-11-12,Esportiva,3,1,XV de Piracicaba
1961-11-12,Noroeste,3,2,Comercial (RP)
1961-11-15,Juventus,1,0,Comercial (RP)
1961-11-15,XV de Piracicaba,2,1,São Paulo
1961-11-15,Botafogo,2,3,Palmeiras
1961-11-15,Port. Santista,1,4,Ferroviária
1961-11-15,Guarani,6,1,Jabaquara
1961-11-15,Portuguesa,7,0,Corinthians
1961-11-18,Jabaquara,6,2,Botafogo
1961-11-19,Esportiva,1,0,Guarani
1961-11-19,Taubaté,2,0,São Paulo
1961-11-19,Noroeste,3,3,XV de Piracicaba
1961-11-19,Comercial (RP),1,2,Portuguesa
1961-11-19,Palmeiras,2,1,Ferroviária
1961-11-22,Palmeiras,0,0,São Paulo
1961-11-22,Botafogo,1,0,Guarani
1961-11-22,Port. Santista,4,0,Comercial (RP)
1961-11-22,Ferroviária,4,1,Juventus
1961-11-22,Taubaté,2,2,Noroeste
1961-11-25,Botafogo,2,2,Corinthians
1961-11-25,Esportiva,1,4,Portuguesa
1961-11-26,Guarani,0,0,Taubaté
1961-11-26,Juventus,2,1,Noroeste
1961-11-26,Comercial (RP),1,4,Santos
1961-11-26,Port. Santista,1,5,Palmeiras
1961-11-29,Ferroviária,1,1,Jabaquara
1961-11-29,Palmeiras,3,2,Santos
1961-11-29,Portuguesa,5,2,Botafogo
1961-12-02,Comercial (RP),3,1,XV de Piracicaba
