Comp,Temp,Data,Casa,GC,GF,Fora,Res,PC,PF,J
Paulista,1967,1967-07-02,Juventus (SP),3,2,Comercial,VC,3,0,1
Paulista,1967,1967-07-02,Ferroviária (SP),2,0,Portuguesa Santista,VC,3,0,2
Paulista,1967,1967-07-04,Portuguesa,2,1,Prudentina,VC,3,0,3
Paulista,1967,1967-07-04,Botafogo (SP),1,1,América (SP),E,1,1,4
Paulista,1967,1967-07-05,São Paulo,2,0,Guarani,VC,3,0,5
Paulista,1967,1967-07-08,Portuguesa Santista,3,1,Juventus (SP),VC,3,0,6
Paulista,1967,1967-07-08,Palmeiras,3,2,Comercial,VC,3,0,7
Paulista,1967,1967-07-09,Corinthians,4,1,Guarani,VC,3,0,8
Paulista,1967,1967-07-09,Botafogo (SP),1,2,Ferroviária (SP),VV,0,3,9
Paulista,1967,1967-07-09,Santos,4,3,São Bento,VC,3,0,10
Paulista,1967,1967-07-09,América (SP),2,1,Portuguesa,VC,3,0,11
Paulista,1967,1967-07-09,Prudentina,0,1,São Paulo,VV,0,3,12
Paulista,1967,1967-07-12,São Bento,1,1,Prudentina,E,1,1,13
Paulista,1967,1967-07-12,Guarani,2,0,Juventus (SP),VC,3,0,14
Paulista,1967,1967-07-15,Juventus (SP),0,4,Santos,VV,0,3,15
Paulista,1967,1967-07-16,Corinthians,3,0,São Bento,VC,3,0,16
Paulista,1967,1967-07-16,América (SP),1,0,Guarani,VC,3,0,17
Paulista,1967,1967-07-16,Portuguesa Santista,1,1,Palmeiras,E,1,1,18
Paulista,1967,1967-07-16,Prudentina,3,1,Botafogo (SP),VC,3,0,19
Paulista,1967,1967-07-16,Comercial,1,2,Portuguesa,VV,0,3,20
Paulista,1967,1967-07-16,São Paulo,1,1,Ferroviária (SP),E,1,1,21
Paulista,1967,1967-07-19,Corinthians,3,0,Portuguesa Santista,VC,3,0,22
Paulista,1967,1967-07-21,São Paulo,3,1,Portuguesa,VC,3,0,23
Paulista,1967,1967-07-23,Ferroviária (SP),1,1,Corinthians,E,1,1,24
Paulista,1967,1967-07-23,Prudentina,4,2,Palmeiras,VC,3,0,25
Paulista,1967,1967-07-23,Juventus (SP),1,1,Botafogo (SP),E,1,1,26
Paulista,1967,1967-07-23,Comercial,0,0,América (SP),E,1,1,27
Paulista,1967,1967-07-23,Santos,2,1,Guarani,VC,3,0,28
Paulista,1967,1967-07-26,Portuguesa Santista,2,0,Prudentina,VC,3,0,29
Paulista,1967,1967-07-28,Portuguesa,2,1,Santos,VC,3,0,30
Paulista,1967,1967-07-29,Corinthians,2,1,Palmeiras,VC,3,0,31
Paulista,1967,1967-07-30,São Bento,1,1,Juventus (SP),E,1,1,32
Paulista,1967,1967-07-30,Guarani,6,0,Prudentina,VC,3,0,33
Paulista,1967,1967-07-30,Botafogo (SP),0,3,São Paulo,VV,0,3,34
Paulista,1967,1967-08-02,Comercial,1,2,Portuguesa Santista,VV,0,3,35
Paulista,1967,1967-08-02,Santos,3,3,América (SP),E,1,1,36
Paulista,1967,1967-08-02,Palmeiras,2,1,Ferroviária (SP),VC,3,0,37
Paulista,1967,1967-08-05,São Paulo,5,0,Comercial,VC,3,0,38
Paulista,1967,1967-08-06,Santos,1,1,Palmeiras,E,1,1,39
Paulista,1967,1967-08-06,Corinthians,1,0,Juventus (SP),VC,3,0,40
Paulista,1967,1967-08-06,América (SP),2,1,Portuguesa Santista,VC,3,0,41
Paulista,1967,1967-08-06,Prudentina,1,0,Ferroviária (SP),VC,3,0,42
Paulista,1967,1967-08-06,Botafogo (SP),4,2,Guarani,VC,3,0,43
Paulista,1967,1967-08-06,São Bento,0,2,Portuguesa,VV,0,3,44
Paulista,1967,1967-08-09,Santos,3,0,Prudentina,VC,3,0,45
Paulista,1967,1967-08-09,Portuguesa,4,2,Juventus (SP),VC,3,0,46
Paulista,1967,1967-08-09,Ferroviária (SP),4,1,São Bento,VC,3,0,47
Paulista,1967,1967-08-13,São Paulo,3,3,Corinthians,E,1,1,48
Paulista,1967,1967-08-13,Portuguesa Santista,1,2,São Bento,VV,0,3,49
Paulista,1967,1967-08-13,Ferroviária (SP),0,1,Portuguesa,VV,0,3,50
Paulista,1967,1967-08-15,Prudentina,1,1,Juventus (SP),E,1,1,51
Paulista,1967,1967-08-15,Botafogo (SP),1,2,Santos,VV,0,3,52
Paulista,1967,1967-08-15,Guarani,0,1,Comercial,VV,0,3,53
Paulista,1967,1967-08-15,Palmeiras,2,1,América (SP),VC,3,0,54
Paulista,1967,1967-08-16,Comercial,1,3,Botafogo (SP),VV,0,3,55
Paulista,1967,1967-08-16,Santos,0,0,São Paulo,E,1,1,56
Paulista,1967,1967-08-16,Corinthians,4,3,América (SP),VC,3,0,57
Paulista,1967,1967-08-19,Santos,4,1,Comercial,VC,3,0,58
Paulista,1967,1967-08-19,Palmeiras,2,1,Portuguesa,VC,3,0,59
Paulista,1967,1967-08-19,Guarani,3,0,Portuguesa Santista,VC,3,0,60
Paulista,1967,1967-08-20,América (SP),4,0,Ferroviária (SP),VC,3,0,61
Paulista,1967,1967-08-20,Prudentina,0,2,Corinthians,VV,0,3,62
Paulista,1967,1967-08-20,São Paulo,2,0,Juventus (SP),VC,3,0,63
Paulista,1967,1967-08-20,São Bento,3,0,Botafogo (SP),VC,3,0,64
Paulista,1967,1967-08-22,Portuguesa Santista,1,3,Santos,VV,0,3,65
Paulista,1967,1967-08-23,Ferroviária (SP),0,0,Guarani,E,1,1,66
Paulista,1967,1967-08-26,Portuguesa,2,2,Botafogo (SP),E,1,1,67
Paulista,1967,1967-08-27,São Bento,4,1,América (SP),VC,3,0,68
Paulista,1967,1967-08-27,Comercial,2,6,Corinthians,VV,0,3,69
Paulista,1967,1967-08-27,Juventus (SP),2,1,Ferroviária (SP),VC,3,0,70
Paulista,1967,1967-08-27,São Paulo,1,1,Palmeiras,E,1,1,71
Paulista,1967,1967-08-30,Palmeiras,1,0,São Bento,VC,3,0,72
Paulista,1967,1967-09-02,Corinthians,0,0,Portuguesa,E,1,1,73
Paulista,1967,1967-09-03,América (SP),4,0,Juventus (SP),VC,3,0,74
