,Time,Partidas,Vitórias,Derrotas,Empates,Gols Marcados,Pontuação,Percentual Vitórias,Percentual Empates,Percentual Derrotas,Aproveitamento
12,Corinthians,228,105,54,69,296.0,384,46.05263157894737,30.263157894736842,23.684210526315788,56.14035087719298
9,Grêmio,228,107,62,59,283.0,380,46.92982456140351,25.877192982456144,27.192982456140353,55.55555555555556
17,Atlético-MG,228,104,60,64,344.0,376,45.614035087719294,28.07017543859649,26.31578947368421,54.97076023391813
6,Cruzeiro,228,106,69,53,330.0,371,46.49122807017544,23.24561403508772,30.263157894736842,54.239766081871345
15,Santos,228,98,69,61,303.0,355,42.98245614035088,26.75438596491228,30.263157894736842,51.900584795321635
11,São Paulo,228,99,76,53,302.0,350,43.42105263157895,23.24561403508772,33.33333333333333,51.16959064327485
23,Athletico-PR,190,78,69,43,234.0,277,41.05263157894737,22.63157894736842,36.31578947368421,48.59649122807018
13,Fluminense,229,90,78,61,304.0,331,39.30131004366812,26.637554585152838,34.06113537117904,48.180494905385736
5,Flamengo,228,88,77,63,274.0,327,38.59649122807017,27.631578947368425,33.771929824561404,47.80701754385965
18,Internacional,190,73,64,53,222.0,272,38.421052631578945,27.89473684210526,33.68421052631579,47.719298245614034
2,Palmeiras,190,78,76,36,256.0,270,41.05263157894737,18.947368421052634,40.0,47.368421052631575
10,Botafogo,190,72,72,46,234.0,262,37.89473684210527,24.210526315789473,37.89473684210527,45.96491228070175
8,Vasco,152,52,57,43,163.0,199,34.21052631578947,28.289473684210524,37.5,43.640350877192986
24,Chapecoense,151,51,57,43,169.0,196,33.77483443708609,28.47682119205298,37.74834437086093,43.26710816777042
4,Sport,190,64,74,52,223.0,244,33.68421052631579,27.368421052631582,38.94736842105263,42.80701754385965
22,Goiás,114,39,48,27,125.0,144,34.21052631578947,23.684210526315788,42.10526315789473,42.10526315789473
3,Portuguesa,76,22,27,27,89.0,93,28.947368421052634,35.526315789473685,35.526315789473685,40.78947368421053
20,Vitória,152,49,65,38,197.0,185,32.23684210526316,25.0,42.76315789473684,40.57017543859649
19,Coritiba,228,71,94,63,251.0,276,31.140350877192986,27.631578947368425,41.228070175438596,40.35087719298245
16,Ponte Preta,190,59,80,51,200.0,228,31.05263157894737,26.842105263157894,42.10526315789473,40.0
14,Bahia,152,45,60,47,155.0,182,29.605263157894733,30.92105263157895,39.473684210526315,39.91228070175439
26,Avaí,76,21,33,22,67.0,85,27.631578947368425,28.947368421052634,43.42105263157895,37.280701754385966
0,Figueirense,152,39,73,40,142.0,157,25.657894736842106,26.31578947368421,48.026315789473685,34.42982456140351
21,Criciúma,76,20,38,18,77.0,78,26.31578947368421,23.684210526315788,50.0,34.21052631578947
1,Náutico,76,19,45,12,66.0,69,25.0,15.789473684210526,59.210526315789465,30.263157894736842
7,Atlético-GO,76,16,42,18,75.0,66,21.052631578947366,23.684210526315788,55.26315789473685,28.947368421052634
25,Joinville,38,7,21,10,26.0,31,18.421052631578945,26.31578947368421,55.26315789473685,27.192982456140353
27,Santa Cruz,38,8,23,7,45.0,31,21.052631578947366,18.421052631578945,60.526315789473685,27.192982456140353
28,América-MG,38,7,24,7,23.0,28,18.421052631578945,18.421052631578945,63.1578947368421,24.561403508771928
