Time,Partidas,Vitórias,Derrotas,Empates,Gols Marcados,Pontuação,Percentual Vitórias,Percentual Empates,Percentual Derrotas,Percentual Pontos,Posição
Palmeiras,114,63,23,28,188.0,217,55.26315789473685,24.561403508771928,20.175438596491226,63.450292397660824,1
Atlético-MG,114,60,26,28,164.0,208,52.63157894736842,24.561403508771928,22.807017543859647,60.81871345029239,2
Flamengo,114,58,31,25,185.0,199,50.877192982456144,21.929824561403507,27.192982456140353,58.187134502923975,3
Fluminense,114,52,38,24,152.0,180,45.614035087719294,21.052631578947366,33.33333333333333,52.63157894736842,4
Internacional,114,47,32,35,148.0,176,41.228070175438596,30.701754385964914,28.07017543859649,51.461988304093566,5
Corinthians,114,45,32,37,131.0,172,39.473684210526315,32.45614035087719,28.07017543859649,50.29239766081871,6
Fortaleza,114,47,41,26,135.0,167,41.228070175438596,22.807017543859647,35.96491228070175,48.83040935672515,7
Red Bull Bragantino,114,42,36,36,153.0,162,36.84210526315789,31.57894736842105,31.57894736842105,47.368421052631575,8
Athletico-PR,114,43,39,32,140.0,161,37.719298245614034,28.07017543859649,34.21052631578947,47.07602339181287,9
São Paulo,114,38,35,41,126.0,155,33.33333333333333,35.96491228070175,30.701754385964914,45.32163742690059,10
Santos,114,35,44,35,118.0,140,30.701754385964914,30.701754385964914,38.59649122807017,40.93567251461988,11
Cuiabá,114,34,43,37,105.0,139,29.82456140350877,32.45614035087719,37.719298245614034,40.643274853801174,12
América-MG,114,33,50,31,123.0,130,28.947368421052634,27.192982456140353,43.859649122807014,38.01169590643275,13
Botafogo,76,33,25,18,99.0,117,43.42105263157895,23.684210526315788,32.89473684210527,51.31578947368421,14
Grêmio,76,33,31,12,107.0,111,43.42105263157895,15.789473684210526,40.78947368421053,48.68421052631579,15
Atlético-GO,76,21,29,26,72.0,89,27.631578947368425,34.21052631578947,38.15789473684211,39.03508771929825,16
Ceará,76,18,25,33,73.0,87,23.684210526315788,43.42105263157895,32.89473684210527,38.15789473684211,17
Bahia,76,23,35,18,92.0,87,30.263157894736842,23.684210526315788,46.05263157894737,38.15789473684211,18
Goiás,76,20,32,24,76.0,84,26.31578947368421,31.57894736842105,42.10526315789473,36.84210526315789,19
Coritiba,76,20,44,12,80.0,72,26.31578947368421,15.789473684210526,57.89473684210527,31.57894736842105,20
Juventude,76,14,36,26,65.0,68,18.421052631578945,34.21052631578947,47.368421052631575,29.82456140350877,21
Cruzeiro,38,11,13,14,35.0,47,28.947368421052634,36.84210526315789,34.21052631578947,41.228070175438596,22
Vasco,38,12,17,9,41.0,45,31.57894736842105,23.684210526315788,44.73684210526316,39.473684210526315,23
Sport,38,9,18,11,24.0,38,23.684210526315788,28.947368421052634,47.368421052631575,33.33333333333333,24
Avaí,38,9,21,8,34.0,35,23.684210526315788,21.052631578947366,55.26315789473685,30.701754385964914,25
Chapecoense,38,1,25,12,27.0,15,2.631578947368421,31.57894736842105,65.78947368421053,13.157894736842104,26
