,Time,Partidas,Vitórias,Derrotas,Empates,Gols Marcados,Pontuação,Percentual Vitórias,Percentual Empates,Percentual Derrotas,Aproveitamento
1,Palmeiras,77,41,14,22,117,104,53.246753246753244,28.57142857142857,18.181818181818183,67.53246753246754
12,Corinthians,71,37,18,16,105,90,52.112676056338024,22.535211267605636,25.352112676056336,63.38028169014085
8,Internacional,71,31,17,23,95,85,43.66197183098591,32.3943661971831,23.943661971830984,59.859154929577464
2,Cruzeiro,67,31,19,17,105,79,46.26865671641791,25.37313432835821,28.35820895522388,58.95522388059702
11,Santos,66,28,18,20,114,76,42.42424242424242,30.303030303030305,27.27272727272727,57.57575757575758
3,Atlético-MG,64,27,20,17,89,71,42.1875,26.5625,31.25,55.46875
9,Grêmio,68,23,18,27,74,73,33.82352941176471,39.705882352941174,26.47058823529412,53.67647058823529
0,Fluminense,64,25,26,13,88,63,39.0625,20.3125,40.625,49.21875
7,Bangu,30,8,10,12,28,28,26.666666666666668,40.0,33.33333333333333,46.666666666666664
4,Portuguesa,46,12,16,18,61,42,26.08695652173913,39.130434782608695,34.78260869565217,45.65217391304348
13,Botafogo,66,20,26,20,73,60,30.303030303030305,30.303030303030305,39.39393939393939,45.45454545454545
16,Athletico-PR,32,10,13,9,40,29,31.25,28.125,40.625,45.3125
5,Flamengo,62,15,22,25,68,55,24.193548387096776,40.32258064516129,35.483870967741936,44.354838709677416
18,Santa Cruz,32,7,11,14,31,28,21.875,43.75,34.375,43.75
19,Coritiba,16,5,7,4,19,14,31.25,25.0,43.75,43.75
14,São Paulo,62,15,25,22,77,52,24.193548387096776,35.483870967741936,40.32258064516129,41.935483870967744
17,Bahia,48,14,22,12,44,40,29.166666666666668,25.0,45.83333333333333,41.66666666666667
20,America-RJ,32,6,12,14,40,26,18.75,43.75,37.5,40.625
10,Vasco,66,17,34,15,69,49,25.757575757575758,22.727272727272727,51.515151515151516,37.121212121212125
21,Ponte Preta,16,3,9,4,11,10,18.75,25.0,56.25,31.25
15,Náutico,16,2,10,4,12,8,12.5,25.0,62.5,25.0
6,Ferroviário-CE,14,0,10,4,9,4,0.0,28.57142857142857,71.42857142857143,14.285714285714285
