Comp,Temp,Data,Casa,GC,GF,Fora,Res,PC,PF,J
Rio-SP,1963,1963-02-13,São Paulo,2,1,Palmeiras,VC,3,0,1
Rio-SP,1963,1963-02-13,Vasco,1,1,Fluminense,E,1,1,2
Rio-SP,1963,1963-02-14,Corinthians,3,1,Portuguesa,VC,3,0,3
Rio-SP,1963,1963-02-14,Flamengo,4,1,Olaria,VC,3,0,4
Rio-SP,1963,1963-02-16,Palmeiras,1,1,Botafogo,E,1,1,5
Rio-SP,1963,1963-02-16,Vasco,2,2,Santos,E,1,1,6
Rio-SP,1963,1963-02-17,Corinthians,2,0,Fluminense,VC,3,0,7
Rio-SP,1963,1963-02-17,Flamengo,2,0,São Paulo,VC,3,0,8
Rio-SP,1963,1963-02-20,Santos,6,3,Portuguesa,VC,3,0,9
Rio-SP,1963,1963-02-20,Botafogo,2,1,Olaria,VC,3,0,10
Rio-SP,1963,1963-02-21,Flamengo,3,1,Vasco,VC,3,0,11
Rio-SP,1963,1963-02-23,Palmeiras,1,0,Corinthians,VC,3,0,12
Rio-SP,1963,1963-03-02,Fluminense,1,0,Olaria,VC,3,0,14
Rio-SP,1963,1963-03-02,São Paulo,1,1,Portuguesa,E,1,1,13
Rio-SP,1963,1963-03-03,Santos,2,0,Corinthians,VC,3,0,15
Rio-SP,1963,1963-03-03,Botafogo,2,1,Flamengo,VC,3,0,16
Rio-SP,1963,1963-03-06,Palmeiras,2,1,Portuguesa,VC,3,0,17
Rio-SP,1963,1963-03-06,Vasco,0,0,Olaria,E,1,1,18
Rio-SP,1963,1963-03-07,Santos,6,2,São Paulo,VC,3,0,19
Rio-SP,1963,1963-03-07,Botafogo,2,2,Fluminense,E,1,1,20
Rio-SP,1963,1963-03-09,Palmeiras,2,1,Flamengo,VC,3,0,21
Rio-SP,1963,1963-03-09,Vasco,1,2,Corinthians,VV,0,3,22
Rio-SP,1963,1963-03-10,Fluminense,1,1,Portuguesa,E,1,1,23
Rio-SP,1963,1963-03-10,São Paulo,2,1,Olaria,VC,3,0,24
Rio-SP,1963,1963-03-13,Botafogo,1,1,Vasco,E,1,1,26
Rio-SP,1963,1963-03-13,Santos,3,0,Palmeiras,VC,3,0,25
Rio-SP,1963,1963-03-14,São Paulo,2,1,Corinthians,VC,3,0,27
Rio-SP,1963,1963-03-14,Flamengo,2,0,Fluminense,VC,3,0,28
Rio-SP,1963,1963-03-16,Santos,5,1,Olaria,VC,3,0,29
Rio-SP,1963,1963-03-16,Botafogo,2,3,Portuguesa,VV,0,3,30
Rio-SP,1963,1963-03-17,São Paulo,0,1,Vasco,VV,0,3,31
Rio-SP,1963,1963-03-17,Fluminense,2,1,Palmeiras,VC,3,0,32
Rio-SP,1963,1963-03-20,Corinthians,2,0,Olaria,VC,3,0,33
Rio-SP,1963,1963-03-21,Portuguesa,2,1,Flamengo,VC,3,0,34
Rio-SP,1963,1963-03-23,Botafogo,1,1,São Paulo,E,1,1,35
Rio-SP,1963,1963-03-23,Santos,2,4,Fluminense,VV,0,3,36
Rio-SP,1963,1963-03-24,Palmeiras,3,1,Olaria,VC,3,0,38
Rio-SP,1963,1963-03-24,Portuguesa,2,1,Vasco,VC,3,0,37
Rio-SP,1963,1963-03-27,Corinthians,3,2,Botafogo,VC,3,0,39
Rio-SP,1963,1963-03-27,Flamengo,0,3,Santos,VV,0,3,40
Rio-SP,1963,1963-03-28,Palmeiras,1,1,Vasco,E,1,1,41
Rio-SP,1963,1963-03-28,Olaria,4,4,Portuguesa,E,1,1,42
Rio-SP,1963,1963-03-30,Fluminense,2,1,São Paulo,VC,3,0,43
Rio-SP,1963,1963-03-31,Corinthians,2,0,Flamengo,VC,3,0,44
Rio-SP,1963,1963-03-31,Botafogo,3,1,Santos,VC,3,0,45
Rio-SP,1964,1964-03-14,Portuguesa,3,1,São Paulo,VC,3,0,1
Rio-SP,1964,1964-03-14,Vasco,0,0,Fluminense,E,1,1,2
Rio-SP,1964,1964-03-15,Corinthians,1,2,Flamengo,VV,0,3,4
Rio-SP,1964,1964-03-15,Bangu,1,2,Palmeiras,VV,0,3,3
Rio-SP,1964,1964-03-18,Santos,3,0,Corinthians,VC,3,0,5
Rio-SP,1964,1964-03-21,Flamengo,3,1,Vasco,VC,3,0,7
Rio-SP,1964,1964-03-21,Palmeiras,3,1,Portuguesa,VC,3,0,6
Rio-SP,1964,1964-03-22,Fluminense,0,1,Santos,VV,0,3,8
Rio-SP,1964,1964-03-22,São Paulo,0,2,Botafogo,VV,0,3,9
Rio-SP,1964,1964-03-28,Bangu,2,0,São Paulo,VC,3,0,10
Rio-SP,1964,1964-03-28,Corinthians,2,1,Fluminense,VC,3,0,11
Rio-SP,1964,1964-03-29,Botafogo,2,0,Portuguesa,VC,3,0,12
Rio-SP,1964,1964-03-29,Santos,2,0,Vasco,VC,3,0,13
Rio-SP,1964,1964-04-04,Palmeiras,2,3,Vasco,VV,0,3,14
Rio-SP,1964,1964-04-05,Santos,2,1,Bangu,VC,3,0,15
Rio-SP,1964,1964-04-08,Portuguesa,2,2,Bangu,E,1,1,16
Rio-SP,1964,1964-04-09,Corinthians,3,0,São Paulo,VC,3,0,17
Rio-SP,1964,1964-04-11,Santos,2,1,Palmeiras,VC,3,0,19
Rio-SP,1964,1964-04-11,Botafogo,2,1,Flamengo,VC,3,0,18
Rio-SP,1964,1964-04-12,Vasco,1,1,São Paulo,E,1,1,20
Rio-SP,1964,1964-04-12,Portuguesa,0,0,Fluminense,E,1,1,21
Rio-SP,1964,1964-04-15,Portuguesa,5,2,Santos,VC,3,0,22
Rio-SP,1964,1964-04-15,Vasco,1,0,Botafogo,VC,3,0,23
Rio-SP,1964,1964-04-18,Flamengo,0,0,Bangu,E,1,1,24
Rio-SP,1964,1964-04-18,Palmeiras,2,1,Corinthians,VC,3,0,25
Rio-SP,1964,1964-04-19,Botafogo,2,0,Fluminense,VC,3,0,26
Rio-SP,1964,1964-04-19,Santos,4,1,São Paulo,VC,3,0,27
Rio-SP,1964,1964-04-22,Flamengo,1,1,Fluminense,E,1,1,28
Rio-SP,1964,1964-04-23,Palmeiras,3,0,São Paulo,VC,3,0,29
Rio-SP,1964,1964-04-25,Botafogo,1,3,Santos,VV,0,3,30
Rio-SP,1964,1964-04-25,Corinthians,1,1,Bangu,E,1,1,31
Rio-SP,1964,1964-04-26,Fluminense,2,2,Palmeiras,E,1,1,33
Rio-SP,1964,1964-04-26,São Paulo,2,0,Flamengo,VC,3,0,32
Rio-SP,1964,1964-04-28,Botafogo,3,1,Corinthians,VC,3,0,34
Rio-SP,1964,1964-05-01,Flamengo,3,2,Santos,VC,3,0,35
Rio-SP,1964,1964-05-02,Corinthians,2,2,Portuguesa,E,1,1,36
Rio-SP,1964,1964-05-03,Bangu,2,1,Vasco,VC,3,0,37
Rio-SP,1964,1964-05-03,Palmeiras,3,4,Botafogo,VV,0,3,38
Rio-SP,1964,1964-05-05,Bangu,2,1,Fluminense,VC,3,0,39
Rio-SP,1964,1964-05-06,Vasco,0,1,Corinthians,VV,0,3,40
Rio-SP,1964,1964-05-07,Flamengo,1,1,Portuguesa,E,1,1,41
Rio-SP,1964,1964-05-09,Portuguesa,3,3,Vasco,E,1,1,43
Rio-SP,1964,1964-05-09,Botafogo,5,0,Bangu,VC,3,0,42
Rio-SP,1964,1964-05-10,Fluminense,3,3,São Paulo,E,1,1,45
Rio-SP,1964,1964-05-10,Palmeiras,1,1,Flamengo,E,1,1,44
Rio-SP,1965,1965-02-14,Corinthians,3,1,Vasco,VC,3,0,1
Rio-SP,1965,1965-02-17,São Paulo,3,0,Portuguesa,VC,3,0,2
Rio-SP,1965,1965-02-20,Vasco,2,1,Fluminense,VC,3,0,3
Rio-SP,1965,1965-02-21,São Paulo,0,2,Flamengo,VV,0,3,4
