Comp,Temp,Data,Casa,GC,GF,Fora,Res,PC,PF,J
Robertão,1968,1968-08-24,Portuguesa,1,0,São Paulo,VC,3,0,1
Robertão,1968,1968-08-28,Palmeiras,1,0,Náutico,VC,3,0,2
Robertão,1968,1968-09-01,Náutico,0,1,Corinthians,VV,0,3,3
Robertão,1968,1968-09-01,Palmeiras,1,1,Grêmio,E,1,1,4
Robertão,1968,1968-09-01,Athletico-PR,1,1,São Paulo,E,1,1,5
Robertão,1968,1968-09-04,Internacional,1,1,Palmeiras,E,1,1,6
Robertão,1968,1968-09-07,Internacional,1,1,Náutico,E,1,1,7
Robertão,1968,1968-09-08,Corinthians,2,1,São Paulo,VC,3,0,8
Robertão,1968,1968-09-08,Athletico-PR,3,2,Santos,VC,3,0,9
Robertão,1968,1968-09-08,Grêmio,3,0,Portuguesa,VC,3,0,10
Robertão,1968,1968-09-11,Corinthians,3,1,Portuguesa,VC,3,0,11
Robertão,1968,1968-09-11,Grêmio,0,0,Náutico,E,1,1,12
Robertão,1968,1968-09-14,Fluminense,2,1,Botafogo,VC,3,0,13
Robertão,1968,1968-09-14,São Paulo,0,1,Internacional,VV,0,3,14
Robertão,1968,1968-09-14,Atlético-MG,1,0,Bahia,VC,3,0,15
Robertão,1968,1968-09-15,Portuguesa,0,2,Vasco,VV,0,3,16
Robertão,1968,1968-09-15,Cruzeiro,3,0,Náutico,VC,3,0,17
Robertão,1968,1968-09-15,Flamengo,0,2,Santos,VV,0,3,18
Robertão,1968,1968-09-18,Bangu,3,1,Portuguesa,VC,3,0,19
Robertão,1968,1968-09-18,Atlético-MG,2,1,Náutico,VC,3,0,20
Robertão,1968,1968-09-18,Santos,0,0,Palmeiras,E,1,1,21
Robertão,1968,1968-09-18,Athletico-PR,3,1,Fluminense,VC,3,0,22
Robertão,1968,1968-09-18,Internacional,2,1,Vasco,VC,3,0,23
Robertão,1968,1968-09-19,Corinthians,1,0,Bahia,VC,3,0,24
Robertão,1968,1968-09-21,Santos,2,1,Fluminense,VC,3,0,25
Robertão,1968,1968-09-22,Grêmio,1,1,São Paulo,E,1,1,26
Robertão,1968,1968-09-22,Athletico-PR,0,1,Botafogo,VV,0,3,27
Robertão,1968,1968-09-22,Vasco,2,0,Atlético-MG,VC,3,0,28
Robertão,1968,1968-09-22,Cruzeiro,1,0,Bahia,VC,3,0,29
Robertão,1968,1968-09-22,Portuguesa,3,3,Internacional,E,1,1,30
Robertão,1968,1968-09-25,Santos,1,1,Bangu,E,1,1,31
Robertão,1968,1968-09-25,Flamengo,1,0,Cruzeiro,VC,3,0,32
Robertão,1968,1968-09-25,Atlético-MG,1,2,São Paulo,VV,0,3,33
Robertão,1968,1968-09-25,Internacional,1,1,Bahia,E,1,1,34
Robertão,1968,1968-09-26,Palmeiras,2,0,Fluminense,VC,3,0,35
Robertão,1968,1968-09-26,Botafogo,4,2,Náutico,VC,3,0,36
Robertão,1968,1968-09-28,Flamengo,1,1,Bangu,E,1,1,37
Robertão,1968,1968-09-29,Vasco,3,2,Santos,VC,3,0,38
Robertão,1968,1968-09-29,Atlético-MG,0,0,Fluminense,E,1,1,39
Robertão,1968,1968-09-29,Corinthians,3,0,Botafogo,VC,3,0,40
Robertão,1968,1968-09-29,Athletico-PR,3,1,Internacional,VC,3,0,41
Robertão,1968,1968-09-29,Grêmio,2,1,Bahia,VC,3,0,42
Robertão,1968,1968-10-02,Bahia,0,2,Palmeiras,VV,0,3,43
Robertão,1968,1968-10-02,Fluminense,1,2,Cruzeiro,VV,0,3,44
Robertão,1968,1968-10-02,São Paulo,0,0,Bangu,E,1,1,45
Robertão,1968,1968-10-03,Flamengo,3,3,Portuguesa,E,1,1,46
Robertão,1968,1968-10-03,Corinthians,2,1,Atlético-MG,VC,3,0,47
Robertão,1968,1968-10-05,Vasco,2,1,Botafogo,VC,3,0,48
Robertão,1968,1968-10-06,Grêmio,0,0,Bangu,E,1,1,49
Robertão,1968,1968-10-06,Atlético-MG,0,1,Internacional,VV,0,3,50
Robertão,1968,1968-10-06,Santos,2,1,Corinthians,VC,3,0,51
Robertão,1968,1968-10-06,Bahia,0,1,Portuguesa,VV,0,3,52
Robertão,1968,1968-10-06,Flamengo,0,2,Palmeiras,VV,0,3,53
Robertão,1968,1968-10-09,Internacional,0,0,Bangu,E,1,1,54
Robertão,1968,1968-10-09,Athletico-PR,2,3,Atlético-MG,VV,0,3,55
Robertão,1968,1968-10-09,São Paulo,2,2,Flamengo,E,1,1,56
Robertão,1968,1968-10-09,Náutico,1,1,Portuguesa,E,1,1,57
Robertão,1968,1968-10-09,Vasco,0,2,Grêmio,VV,0,3,58
Robertão,1968,1968-10-09,Cruzeiro,3,1,Corinthians,VC,3,0,59
Robertão,1968,1968-10-10,Santos,9,2,Bahia,VC,3,0,60
Robertão,1968,1968-10-12,Palmeiras,1,1,São Paulo,E,1,1,61
Robertão,1968,1968-10-12,Botafogo,0,1,Grêmio,VV,0,3,62
Robertão,1968,1968-10-13,Náutico,2,0,Bangu,VC,3,0,63
Robertão,1968,1968-10-13,Fluminense,1,0,Flamengo,VC,3,0,64
Robertão,1968,1968-10-13,Santos,2,0,Cruzeiro,VC,3,0,65
Robertão,1968,1968-10-13,Internacional,0,1,Corinthians,VV,0,3,66
Robertão,1968,1968-10-16,Atlético-MG,0,0,Flamengo,E,1,1,67
Robertão,1968,1968-10-16,Botafogo,0,0,Palmeiras,E,1,1,68
Robertão,1968,1968-10-16,Santos,2,0,Portuguesa,VC,3,0,69
Robertão,1968,1968-10-16,Náutico,1,3,Vasco,VV,0,3,70
Robertão,1968,1968-10-16,Bahia,0,1,Bangu,VV,0,3,71
Robertão,1968,1968-10-17,Corinthians,2,1,Grêmio,VC,3,0,72
Robertão,1968,1968-10-17,Fluminense,5,2,São Paulo,VC,3,0,73
Robertão,1968,1968-10-17,Cruzeiro,4,1,Athletico-PR,VC,3,0,74
Robertão,1968,1968-10-19,Botafogo,0,0,Flamengo,E,1,1,75
Robertão,1968,1968-10-20,Náutico,0,1,Fluminense,VV,0,3,76
Robertão,1968,1968-10-20,Vasco,1,3,Palmeiras,VV,0,3,77
Robertão,1968,1968-10-20,Cruzeiro,1,1,Bangu,E,1,1,78
Robertão,1968,1968-10-20,Santos,0,0,São Paulo,E,1,1,79
Robertão,1968,1968-10-20,Athletico-PR,4,0,Corinthians,VC,3,0,80
Robertão,1968,1968-10-20,Grêmio,0,0,Atlético-MG,E,1,1,81
Robertão,1968,1968-10-23,Internacional,1,3,Santos,VV,0,3,82
Robertão,1968,1968-10-23,Athletico-PR,2,3,Vasco,VV,0,3,83
Robertão,1968,1968-10-23,Palmeiras,1,1,Cruzeiro,E,1,1,84
Robertão,1968,1968-10-23,Bangu,1,3,Corinthians,VV,0,3,85
Robertão,1968,1968-10-23,Bahia,1,3,Fluminense,VV,0,3,86
Robertão,1968,1968-10-23,Atlético-MG,1,1,Botafogo,E,1,1,87
Robertão,1968,1968-10-24,Flamengo,0,1,Grêmio,VV,0,3,88
Robertão,1968,1968-10-26,Fluminense,0,2,Portuguesa,VV,0,3,89
Robertão,1968,1968-10-26,Palmeiras,3,1,Bangu,VC,3,0,90
Robertão,1968,1968-10-27,Corinthians,0,1,Flamengo,VV,0,3,91
Robertão,1968,1968-10-27,Grêmio,1,1,Athletico-PR,E,1,1,92
Robertão,1968,1968-10-27,Atlético-MG,1,0,Cruzeiro,VC,3,0,93
Robertão,1968,1968-10-27,Náutico,0,3,Santos,VV,0,3,94
Robertão,1968,1968-10-27,Bahia,1,0,Botafogo,VC,3,0,95
Robertão,1968,1968-10-27,Vasco,3,2,São Paulo,VC,3,0,96
Robertão,1968,1968-11-14,Náutico,1,2,Athletico-PR,VV,0,3,97
Robertão,1968,1968-11-15,Cruzeiro,1,1,Botafogo,E,1,1,98
Robertão,1968,1968-11-16,Palmeiras,2,0,Corinthians,VC,3,0,99
Robertão,1968,1968-11-16,Atlético-MG,1,0,Bangu,VC,3,0,100
Robertão,1968,1968-11-17,Bahia,1,1,Athletico-PR,E,1,1,101
Robertão,1968,1968-11-17,Vasco,2,1,Fluminense,VC,3,0,102
Robertão,1968,1968-11-17,Cruzeiro,2,2,Portuguesa,E,1,1,103
Robertão,1968,1968-11-17,São Paulo,4,1,Botafogo,VC,3,0,104
Robertão,1968,1968-11-17,Internacional,4,0,Flamengo,VC,3,0,105
Robertão,1968,1968-11-20,Athletico-PR,1,1,Flamengo,E,1,1,106
Robertão,1968,1968-11-20,Internacional,1,0,Botafogo,VC,3,0,107
Robertão,1968,1968-11-20,Corinthians,2,1,Vasco,VC,3,0,108
Robertão,1968,1968-11-20,Cruzeiro,1,0,Grêmio,VC,3,0,109
Robertão,1968,1968-11-20,Náutico,1,0,Bahia,VC,3,0,110
Robertão,1968,1968-11-21,Bangu,1,0,Fluminense,VC,3,0,111
Robertão,1968,1968-11-21,Palmeiras,1,0,Portuguesa,VC,3,0,112
Robertão,1968,1968-11-23,São Paulo,3,1,Cruzeiro,VC,3,0,113
Robertão,1968,1968-11-23,Vasco,0,0,Bangu,E,1,1,114
Robertão,1968,1968-11-24,Náutico,0,0,Flamengo,E,1,1,115
Robertão,1968,1968-11-24,Fluminense,2,1,Corinthians,VC,3,0,116
Robertão,1968,1968-11-24,Atlético-MG,2,2,Santos,E,1,1,117
Robertão,1968,1968-11-24,Portuguesa,2,2,Botafogo,E,1,1,118
Robertão,1968,1968-11-24,Athletico-PR,1,3,Palmeiras,VV,0,3,119
Robertão,1968,1968-11-24,Grêmio,0,0,Internacional,E,1,1,120
Robertão,1968,1968-11-27,Athletico-PR,1,0,Portuguesa,VC,3,0,121
Robertão,1968,1968-11-27,Cruzeiro,1,1,Vasco,E,1,1,122
Robertão,1968,1968-11-27,Santos,3,1,Grêmio,VC,3,0,123
Robertão,1968,1968-11-27,Bahia,2,1,Flamengo,VC,3,0,124
Robertão,1968,1968-11-27,Náutico,2,3,São Paulo,VV,0,3,125
Robertão,1968,1968-11-27,Fluminense,0,1,Internacional,VV,0,3,126
Robertão,1968,1968-11-28,Botafogo,2,0,Bangu,VC,3,0,127
Robertão,1968,1968-11-28,Atlético-MG,2,1,Palmeiras,VC,3,0,128
Robertão,1968,1968-11-30,Bahia,2,1,São Paulo,VC,3,0,129
Robertão,1968,1968-11-30,Vasco,2,0,Flamengo,VC,3,0,130
Robertão,1968,1968-11-30,Internacional,2,1,Cruzeiro,VC,3,0,131
Robertão,1968,1968-12-01,Grêmio,3,1,Fluminense,VC,3,0,132
Robertão,1968,1968-12-01,Athletico-PR,2,2,Bangu,E,1,1,133
Robertão,1968,1968-12-01,Botafogo,3,2,Santos,VC,3,0,134
Robertão,1968,1968-12-01,Portuguesa,1,3,Atlético-MG,VV,0,3,135
Robertão,1968,1968-12-04,Palmeiras,3,0,Vasco,VC,3,0,136
Robertão,1968,1968-12-04,Internacional,1,2,Santos,VV,0,3,137
Robertão,1968,1968-12-08,Vasco,3,2,Internacional,VC,3,0,138
Robertão,1968,1968-12-08,Santos,3,0,Palmeiras,VC,3,0,139
Robertão,1968,1968-12-10,Vasco,1,2,Santos,VV,0,3,140
Robertão,1968,1968-12-10,Internacional,3,0,Palmeiras,VC,3,0,141
Robertão,1968,1968-12-10,Vasco,1,2,Santos,VV,0,3,142
Robertão,1968,1968-12-13,Bahia,3,1,Vasco,VC,3,0,143
