Comp,Temp,Data,Casa,GC,GF,Fora,Res,PC,PF,J
Robertão,1970,1970-09-20,São Paulo,0,2,Palmeiras,VV,0,3,1
Robertão,1970,1970-09-20,Santa Cruz,1,1,Bahia,E,1,1,2
Robertão,1970,1970-09-20,Ahtletico-PR,0,0,Corinthians,E,1,1,3
Robertão,1970,1970-09-23,Cruzeiro,1,0,Botafogo,VC,3,0,4
Robertão,1970,1970-09-23,Ponte Preta,1,0,Vasco,VC,3,0,5
Robertão,1970,1970-09-23,Bahia,0,0,Atlético-MG,E,1,1,6
Robertão,1970,1970-09-26,Palmeiras,4,0,Ponte Preta,VC,3,0,7
Robertão,1970,1970-09-26,Fluminense,1,0,Corinthians,VC,3,0,8
Robertão,1970,1970-09-27,Ahtletico-PR,2,1,America-RJ,VC,3,0,9
Robertão,1970,1970-09-27,Santa Cruz,1,1,Atlético-MG,E,1,1,10
Robertão,1970,1970-09-27,Vasco,0,1,Botafogo,VV,0,3,11
Robertão,1970,1970-09-27,Cruzeiro,1,1,Santos,E,1,1,12
Robertão,1970,1970-09-27,São Paulo,0,2,Flamengo,VV,0,3,13
Robertão,1970,1970-10-01,Bahia,2,1,Ponte Preta,VC,3,0,14
Robertão,1970,1970-10-03,Fluminense,2,1,Cruzeiro,VC,3,0,15
Robertão,1970,1970-10-04,Flamengo,3,1,Vasco,VC,3,0,16
Robertão,1970,1970-10-04,Santa Cruz,1,1,Ponte Preta,E,1,1,17
Robertão,1970,1970-10-04,Bahia,1,0,São Paulo,VC,3,0,18
Robertão,1970,1970-10-04,Internacional,4,1,Ahtletico-PR,VC,3,0,19
Robertão,1970,1970-10-04,Atlético-MG,3,1,Corinthians,VC,3,0,20
Robertão,1970,1970-10-05,Palmeiras,1,0,America-RJ,VC,3,0,21
Robertão,1970,1970-10-07,Fluminense,2,1,Grêmio,VC,3,0,22
Robertão,1970,1970-10-07,Ahtletico-PR,1,0,Bahia,VC,3,0,23
Robertão,1970,1970-10-07,Santos,2,0,Internacional,VC,3,0,24
Robertão,1970,1970-10-07,Santa Cruz,0,2,São Paulo,VV,0,3,25
Robertão,1970,1970-10-08,Corinthians,1,1,Cruzeiro,E,1,1,26
Robertão,1970,1970-10-08,Vasco,0,2,America-RJ,VV,0,3,27
Robertão,1970,1970-10-10,Ponte Preta,0,0,Flamengo,E,1,1,28
Robertão,1970,1970-10-11,São Paulo,1,2,Corinthians,VV,0,3,29
Robertão,1970,1970-10-11,Fluminense,3,0,America-RJ,VC,3,0,30
Robertão,1970,1970-10-11,Ahtletico-PR,0,1,Palmeiras,VV,0,3,31
Robertão,1970,1970-10-11,Atlético-MG,1,0,Vasco,VC,3,0,32
Robertão,1970,1970-10-11,Grêmio,0,2,Santos,VV,0,3,33
Robertão,1970,1970-10-14,Bahia,1,0,Fluminense,VC,3,0,34
Robertão,1970,1970-10-14,Botafogo,1,2,Grêmio,VV,0,3,35
Robertão,1970,1970-10-14,Internacional,3,1,Ponte Preta,VC,3,0,36
Robertão,1970,1970-10-14,Santa Cruz,1,1,Ahtletico-PR,E,1,1,37
Robertão,1970,1970-10-14,Santos,1,1,Atlético-MG,E,1,1,38
Robertão,1970,1970-10-15,Flamengo,2,1,America-RJ,VC,3,0,39
Robertão,1970,1970-10-17,São Paulo,0,0,Grêmio,E,1,1,40
Robertão,1970,1970-10-17,Vasco,5,1,Santos,VC,3,0,41
Robertão,1970,1970-10-18,Bahia,1,1,Internacional,E,1,1,42
Robertão,1970,1970-10-18,Corinthians,1,0,Ponte Preta,VC,3,0,43
Robertão,1970,1970-10-18,Santa Cruz,0,1,Fluminense,VV,0,3,44
Robertão,1970,1970-10-18,Cruzeiro,3,1,America-RJ,VC,3,0,45
Robertão,1970,1970-10-18,Flamengo,0,0,Palmeiras,E,1,1,46
Robertão,1970,1970-10-18,Ahtletico-PR,1,2,Botafogo,VV,0,3,47
Robertão,1970,1970-10-21,America-RJ,1,1,Atlético-MG,E,1,1,48
Robertão,1970,1970-10-21,Corinthians,0,1,Botafogo,VV,0,3,49
Robertão,1970,1970-10-21,Grêmio,0,0,Flamengo,E,1,1,50
Robertão,1970,1970-10-21,Santa Cruz,2,1,Internacional,VC,3,0,51
Robertão,1970,1970-10-22,Fluminense,1,1,São Paulo,E,1,1,52
Robertão,1970,1970-10-22,Santos,1,1,Ponte Preta,E,1,1,53
Robertão,1970,1970-10-24,America-RJ,3,3,Corinthians,E,1,1,54
