Time,Partidas,Vitórias,Derrotas,Empates,Gols Marcados,Pontuação,Percentual Vitórias,Percentual Empates,Percentual Derrotas,Aproveitamento
Flamengo,228,128,52,48,398.0,432,56.14035087719298,21.052631578947366,22.807017543859647,63.1578947368421
Palmeiras,228,122,43,63,364.0,429,53.50877192982456,27.631578947368425,18.859649122807017,62.71929824561403
Atlético-MG,228,110,65,53,329.0,383,48.24561403508772,23.24561403508772,28.50877192982456,55.99415204678363
Internacional,228,102,61,65,303.0,371,44.73684210526316,28.50877192982456,26.75438596491228,54.239766081871345
Grêmio,190,84,57,49,272.0,301,44.21052631578947,25.789473684210527,30.0,52.807017543859644
São Paulo,228,89,58,81,270.0,348,39.03508771929825,35.526315789473685,25.438596491228072,50.877192982456144
Athletico-PR,228,92,77,59,283.0,335,40.35087719298245,25.877192982456144,33.771929824561404,48.9766081871345
Fluminense,228,94,81,53,277.0,335,41.228070175438596,23.24561403508772,35.526315789473685,48.9766081871345
Corinthians,228,83,71,74,252.0,323,36.40350877192983,32.45614035087719,31.140350877192986,47.22222222222222
Red Bull Bragantino,152,55,47,50,203.0,215,36.18421052631579,32.89473684210527,30.92105263157895,47.14912280701755
Santos,228,84,78,66,276.0,318,36.84210526315789,28.947368421052634,34.21052631578947,46.49122807017544
Fortaleza,190,72,73,45,219.0,261,37.89473684210527,23.684210526315788,38.421052631578945,45.78947368421053
Botafogo,190,64,79,47,201.0,239,33.68421052631579,24.736842105263158,41.578947368421055,41.929824561403514
Cuiabá,114,34,43,37,105.0,139,29.82456140350877,32.45614035087719,37.719298245614034,40.643274853801174
Atlético-GO,114,33,41,40,112.0,139,28.947368421052634,35.08771929824561,35.96491228070175,40.643274853801174
Cruzeiro,114,32,42,40,96.0,136,28.07017543859649,35.08771929824561,36.84210526315789,39.76608187134503
Bahia,190,58,80,52,223.0,226,30.526315789473685,27.368421052631582,42.10526315789473,39.64912280701755
Vasco,152,44,62,46,158.0,178,28.947368421052634,30.263157894736842,40.78947368421053,39.03508771929825
Ceará,190,52,72,66,195.0,222,27.368421052631582,34.73684210526316,37.89473684210527,38.94736842105263
Goiás,152,43,67,42,163.0,171,28.289473684210524,27.631578947368425,44.07894736842105,37.5
América-MG,152,43,68,41,153.0,170,28.289473684210524,26.973684210526315,44.73684210526316,37.280701754385966
Sport,114,32,56,26,90.0,122,28.07017543859649,22.807017543859647,49.122807017543856,35.67251461988304
Vitória,38,9,19,10,36.0,37,23.684210526315788,26.31578947368421,50.0,32.45614035087719
Coritiba,114,27,65,22,111.0,103,23.684210526315788,19.298245614035086,57.01754385964912,30.116959064327485
Juventude,76,14,36,26,65.0,68,18.421052631578945,34.21052631578947,47.368421052631575,29.82456140350877
CSA,38,8,22,8,24.0,32,21.052631578947366,21.052631578947366,57.89473684210527,28.07017543859649
Chapecoense,114,19,61,34,92.0,91,16.666666666666664,29.82456140350877,53.50877192982456,26.608187134502927
Avaí,76,12,45,19,52.0,55,15.789473684210526,25.0,59.210526315789465,24.12280701754386
Paraná,38,5,23,10,18.0,25,13.157894736842104,26.31578947368421,60.526315789473685,21.929824561403507
