Time,Partidas,Vitórias,Derrotas,Empates,Gols Marcados,Pontuação,Percentual Vitórias,Percentual Empates,Percentual Derrotas,Aproveitamento
Palmeiras,243,120,43,80,330,320,49.382716049382715,32.92181069958848,17.695473251028808,65.84362139917695
Internacional,245,121,45,79,352,321,49.38775510204081,32.244897959183675,18.367346938775512,65.51020408163265
Cruzeiro,228,105,46,77,311,287,46.05263157894737,33.771929824561404,20.175438596491226,62.93859649122807
Corinthians,236,108,54,74,295,290,45.76271186440678,31.35593220338983,22.88135593220339,61.440677966101696
Grêmio,231,99,56,76,256,274,42.857142857142854,32.900432900432904,24.242424242424242,59.307359307359306
Santos,211,91,53,67,303,249,43.127962085308056,31.753554502369667,25.118483412322274,59.0047393364929
Botafogo-PB,12,5,3,4,16,14,41.66666666666667,33.33333333333333,25.0,58.333333333333336
Atlético-MG,222,94,59,69,309,257,42.34234234234234,31.08108108108108,26.576576576576578,57.88288288288288
Guarani,108,39,27,42,127,120,36.11111111111111,38.88888888888889,25.0,55.55555555555556
São Paulo,221,77,57,87,271,241,34.841628959276015,39.366515837104075,25.791855203619914,54.52488687782805
Coritiba,171,72,57,42,189,186,42.10526315789473,24.561403508771928,33.33333333333333,54.385964912280706
Flamengo,209,80,66,63,256,223,38.27751196172249,30.14354066985646,31.57894736842105,53.34928229665071
Fortaleza,87,29,24,34,94,92,33.33333333333333,39.08045977011494,27.586206896551722,52.87356321839081
Caxias,20,8,7,5,23,21,40.0,25.0,35.0,52.5
Botafogo-SP,21,9,8,4,26,22,42.857142857142854,19.047619047619047,38.095238095238095,52.38095238095239
Goiás,95,30,26,39,104,99,31.57894736842105,41.05263157894737,27.368421052631582,52.10526315789473
Vitória,114,40,37,37,100,117,35.08771929824561,32.45614035087719,32.45614035087719,51.31578947368421
Athletico-PR,82,30,28,24,99,84,36.58536585365854,29.268292682926827,34.146341463414636,51.21951219512195
