Comp,Temp,Data,Casa,GC,GF,Fora,Res,PC,PF,J
Paulista,1956,1956-06-13,São Paulo,3,2,São Bento,VC,3,0,1
Paulista,1956,1956-06-17,Nacional (SP),3,3,Ferroviária (SP),E,1,1,2
Paulista,1956,1956-06-17,XV de Piracicaba,2,1,Corinthians,VC,3,0,3
Paulista,1956,1956-06-17,Santos,1,0,Ponte Preta,VC,3,0,4
Paulista,1956,1956-06-17,São Bento,1,0,Noroeste,VC,3,0,5
Paulista,1956,1956-06-17,Taubaté,2,1,XV de Jaú,VC,3,0,6
Paulista,1956,1956-06-17,Portuguesa,2,1,Portuguesa Santista,VC,3,0,7
Paulista,1956,1956-06-17,Guarani,4,1,Jabaquara,VC,3,0,8
Paulista,1956,1956-06-17,Juventus (SP),3,3,Linense,E,1,1,9
Paulista,1956,1956-06-20,Jabaquara,1,1,Taubaté,E,1,1,10
Paulista,1956,1956-06-21,Palmeiras,5,0,XV de Jaú,VC,3,0,11
Paulista,1956,1956-06-21,Santos,3,1,Guarani,VC,3,0,12
Paulista,1956,1956-06-23,Jabaquara,3,1,Nacional (SP),VC,3,0,13
Paulista,1956,1956-06-24,XV de Jaú,2,2,XV de Piracicaba,E,1,1,14
Paulista,1956,1956-06-24,Ferroviária (SP),1,1,São Bento,E,1,1,15
Paulista,1956,1956-06-24,Portuguesa,1,1,Juventus (SP),E,1,1,16
Paulista,1956,1956-06-24,Linense,1,1,Portuguesa Santista,E,1,1,17
Paulista,1956,1956-06-24,Ponte Preta,2,1,Taubaté,VC,3,0,18
Paulista,1956,1956-06-26,Corinthians,2,1,Noroeste,VC,3,0,19
Paulista,1956,1956-06-30,Palmeiras,3,1,Noroeste,VC,3,0,20
Paulista,1956,1956-07-01,Portuguesa Santista,0,0,Nacional (SP),E,1,1,21
Paulista,1956,1956-07-01,Guarani,2,3,XV de Piracicaba,VV,0,3,22
Paulista,1956,1956-07-01,Juventus (SP),2,1,Ponte Preta,VC,3,0,23
Paulista,1956,1956-07-05,Palmeiras,0,1,Taubaté,VV,0,3,24
Paulista,1956,1956-07-08,Taubaté,4,0,Portuguesa Santista,VC,3,0,25
Paulista,1956,1956-07-08,Noroeste,2,0,Nacional (SP),VC,3,0,26
Paulista,1956,1956-07-08,Palmeiras,1,0,XV de Piracicaba,VC,3,0,27
Paulista,1956,1956-07-08,Guarani,0,1,Juventus (SP),VV,0,3,28
Paulista,1956,1956-07-08,São Bento,5,0,Linense,VC,3,0,29
Paulista,1956,1956-07-11,Portuguesa,0,1,Santos,VV,0,3,30
Paulista,1956,1956-07-14,São Paulo,7,2,Noroeste,VC,3,0,31
Paulista,1956,1956-07-15,Nacional (SP),2,2,Guarani,E,1,1,32
Paulista,1956,1956-07-15,Palmeiras,4,3,Ferroviária (SP),VC,3,0,33
Paulista,1956,1956-07-15,Portuguesa,5,0,Linense,VC,3,0,34
Paulista,1956,1956-07-15,Corinthians,3,1,Juventus (SP),VC,3,0,35
Paulista,1956,1956-07-15,Ponte Preta,1,2,XV de Jaú,VV,0,3,36
Paulista,1956,1956-07-15,São Bento,4,0,Taubaté,VC,3,0,37
Paulista,1956,1956-07-15,Portuguesa Santista,2,1,XV de Piracicaba,VC,3,0,38
Paulista,1956,1956-07-17,Corinthians,1,0,XV de Jaú,VC,3,0,39
Paulista,1956,1956-07-18,Santos,4,2,Ferroviária (SP),VC,3,0,40
Paulista,1956,1956-07-18,São Paulo,2,2,Ponte Preta,E,1,1,41
Paulista,1956,1956-07-19,Palmeiras,0,0,Nacional (SP),E,1,1,42
Paulista,1956,1956-07-21,Jabaquara,4,1,Ferroviária (SP),VC,3,0,43
Paulista,1956,1956-07-21,São Paulo,5,1,Guarani,VC,3,0,44
Paulista,1956,1956-07-22,Portuguesa,2,1,Corinthians,VC,3,0,45
Paulista,1956,1956-07-22,Santos,3,1,São Bento,VC,3,0,46
Paulista,1956,1956-07-22,Juventus (SP),3,1,Portuguesa Santista,VC,3,0,47
Paulista,1956,1956-07-24,XV de Piracicaba,1,1,Taubaté,E,1,1,48
Paulista,1956,1956-07-24,Ponte Preta,3,0,Linense,VC,3,0,49
Paulista,1956,1956-07-24,XV de Jaú,4,0,Noroeste,VC,3,0,50
Paulista,1956,1956-07-24,São Paulo,4,0,XV de Jaú,VC,3,0,51
Paulista,1956,1956-07-25,Portuguesa,1,2,XV de Piracicaba,VV,0,3,52
Paulista,1956,1956-07-25,Santos,4,1,Juventus (SP),VC,3,0,53
Paulista,1956,1956-07-26,Corinthians,3,1,Jabaquara,VC,3,0,54
Paulista,1956,1956-07-28,Portuguesa,6,2,Jabaquara,VC,3,0,55
Paulista,1956,1956-07-29,XV de Piracicaba,1,1,Nacional (SP),E,1,1,56
Paulista,1956,1956-07-29,Palmeiras,3,0,Linense,VC,3,0,57
Paulista,1956,1956-07-29,Guarani,3,2,Portuguesa Santista,VC,3,0,58
Paulista,1956,1956-07-29,São Paulo,3,0,Taubaté,VC,3,0,59
Paulista,1956,1956-07-29,Noroeste,3,2,Ponte Preta,VC,3,0,60
Paulista,1956,1956-07-29,Ferroviária (SP),5,3,XV de Jaú,VC,3,0,61
Paulista,1956,1956-07-29,Santos,3,3,Corinthians,E,1,1,62
