Data,Casa,GC,GF,Fora
1964-07-04,Portuguesa,6,0,XV de Piracicaba
1964-07-05,Corinthians,6,0,Prudentina
1964-07-05,Juventus,2,1,São Paulo
1964-07-05,América,2,1,Santos
1964-07-05,Ferroviária,2,2,São Bento
1964-07-05,Noroeste,2,1,Botafogo
1964-07-05,Comercial (RP),1,0,Esportiva
1964-07-05,Guarani,1,0,Palmeiras
1964-07-08,Guarani,3,2,Noroeste
1964-07-11,Santos,2,1,Comercial (RP)
1964-07-12,Esportiva,1,1,Corinthians
1964-07-12,São Paulo,3,0,Ferroviária
1964-07-12,América,1,2,Portuguesa
1964-07-12,Noroeste,0,2,Palmeiras
1964-07-12,XV de Piracicaba,2,1,Guarani
1964-07-12,Botafogo,1,0,Juventus
1964-07-12,Prudentina,3,1,São Bento
1964-07-15,Corinthians,2,1,Botafogo
1964-07-19,Comercial (RP),1,2,Corinthians
1964-07-19,Portuguesa,2,0,Noroeste
1964-07-19,São Bento,0,1,América
1964-07-19,Esportiva,3,1,Botafogo
1964-07-19,Prudentina,1,3,Palmeiras
1964-07-19,XV de Piracicaba,0,0,Ferroviária
1964-07-19,Guarani,0,1,Juventus
1964-07-19,Santos,5,1,São Paulo
1964-07-22,Botafogo,3,3,Prudentina
1964-07-22,América,4,0,XV de Piracicaba
1964-07-25,Palmeiras,5,0,Botafogo
1964-07-26,Juventus,1,0,Comercial (RP)
1964-07-26,Prudentina,1,1,Santos
1964-07-26,Noroeste,2,1,Corinthians
1964-07-26,São Bento,2,1,Guarani
1964-07-26,Ferroviária,2,1,América
1964-07-26,Portuguesa,1,1,Esportiva
1964-07-26,XV de Piracicaba,1,3,São Paulo
1964-07-29,Esportiva,3,0,Noroeste
1964-07-29,São Paulo,0,0,São Bento
1964-08-01,Comercial (RP),2,1,Ferroviária
1964-08-02,América,1,0,Prudentina
1964-08-02,Guarani,0,0,São Paulo
1964-08-02,São Bento,1,0,Noroeste
1964-08-02,Botafogo,3,0,XV de Piracicaba
1964-08-02,Portuguesa,1,0,Palmeiras
1964-08-02,Corinthians,2,1,Juventus
1964-08-02,Santos,3,1,Esportiva
1964-08-05,Ferroviária,1,1,Palmeiras
1964-08-08,Palmeiras,1,2,São Bento
1964-08-09,Comercial (RP),2,1,Guarani
1964-08-09,Noroeste,1,2,América
1964-08-09,XV de Piracicaba,2,2,Corinthians
1964-08-09,Esportiva,0,0,Ferroviária
1964-08-09,Prudentina,2,0,Portuguesa
1964-08-09,Juventus,1,2,Santos
1964-08-09,São Paulo,2,1,Botafogo
1964-08-12,Corinthians,1,0,América
1964-08-13,Portuguesa,2,1,Comercial (RP)
1964-08-15,São Paulo,0,0,Corinthians
1964-08-16,Ferroviária,0,1,Juventus
1964-08-16,Santos,1,0,XV de Piracicaba
1964-08-16,América,1,2,Palmeiras
1964-08-16,Guarani,2,0,Esportiva
1964-08-16,São Bento,1,1,Portuguesa
1964-08-16,Botafogo,0,0,Comercial (RP)
1964-08-16,Prudentina,0,0,Noroeste
1964-08-19,Santos,6,1,Guarani
1964-08-22,Botafogo,2,0,América
1964-08-22,Portuguesa,5,1,Juventus
1964-08-23,Corinthians,3,0,São Bento
1964-08-23,Noroeste,2,0,Ferroviária
1964-08-23,Esportiva,2,1,XV de Piracicaba
1964-08-23,Palmeiras,1,2,Santos
1964-08-23,Comercial (RP),3,2,São Paulo
1964-08-23,Guarani,1,0,Prudentina
1964-08-26,Juventus,2,2,Prudentina
1964-08-29,Portuguesa,0,1,Botafogo
1964-08-30,Noroeste,2,1,Comercial (RP)
1964-08-30,São Paulo,0,0,Palmeiras
1964-08-30,América,1,1,Juventus
1964-08-30,Prudentina,1,1,Esportiva
1964-08-30,XV de Piracicaba,2,2,São Bento
1964-08-30,Guarani,3,1,Corinthians
1964-08-30,Santos,2,1,Ferroviária
1964-09-02,Juventus,2,1,XV de Piracicaba
1964-09-04,Corinthians,2,2,Portuguesa
1964-09-06,Juventus,2,1,Noroeste
1964-09-06,XV de Piracicaba,1,0,Prudentina
1964-09-06,Botafogo,2,0,Santos
1964-09-06,São Bento,2,0,Comercial (RP)
1964-09-06,Ferroviária,2,1,Guarani
1964-09-06,São Paulo,0,0,América
1964-09-07,Palmeiras,2,0,Esportiva
1964-09-09,Santos,4,2,Noroeste
1964-09-09,Portuguesa,0,2,Ferroviária
1964-09-12,São Paulo,2,1,Portuguesa
1964-09-13,Comercial (RP),3,1,XV de Piracicaba
1964-09-13,Ferroviária,0,3,Prudentina
1964-09-13,Corinthians,1,0,Palmeiras
1964-09-13,São Bento,3,0,Botafogo
1964-09-13,América,4,0,Guarani
1964-09-13,Esportiva,2,4,Juventus
1964-09-16,Palmeiras,2,0,Comercial (RP)
1964-09-20,Comercial (RP),2,0,América
1964-09-20,Guarani,1,2,Portuguesa
1964-09-20,Juventus,1,3,Palmeiras
1964-09-20,Esportiva,0,1,São Bento
1964-09-20,Noroeste,0,0,XV de Piracicaba
1964-09-20,Ferroviária,1,1,Botafogo
1964-09-20,Prudentina,4,2,São Paulo
1964-09-23,São Bento,1,1,Santos
1964-09-23,São Paulo,4,1,Esportiva
1964-09-26,Corinthians,1,0,Ferroviária
1964-09-26,Juventus,2,2,São Bento
1964-09-27,Botafogo,2,1,Guarani
1964-09-27,Prudentina,1,0,Comercial (RP)
1964-09-27,Noroeste,1,1,São Paulo
1964-09-27,XV de Piracicaba,1,4,Palmeiras
1964-09-27,América,1,0,Esportiva
1964-09-27,Portuguesa,4,3,Santos
1964-09-30,Santos,1,1,Corinthians
1964-10-03,São Paulo,3,2,Juventus
1964-10-04,Palmeiras,4,2,Guarani
1964-10-04,São Bento,1,2,Ferroviária
1964-10-04,Botafogo,2,2,Noroeste
1964-10-04,Prudentina,0,0,Corinthians
1964-10-04,XV de Piracicaba,1,3,Portuguesa
1964-10-04,Esportiva,1,2,Comercial (RP)
1964-10-04,Santos,3,1,América
1964-10-07,Noroeste,1,5,Guarani
1964-10-07,Botafogo,4,4,Palmeiras
1964-10-10,Corinthians,3,1,Comercial (RP)
1964-10-11,Botafogo,7,1,Esportiva
1964-10-11,Noroeste,2,2,Portuguesa
1964-10-11,Ferroviária,4,0,XV de Piracicaba
1964-10-11,Palmeiras,4,1,Prudentina
1964-10-11,América,1,0,São Bento
1964-10-11,Juventus,2,3,Guarani
1964-10-11,São Paulo,2,3,Santos
1964-10-14,Comercial (RP),2,3,Santos
1964-10-14,Corinthians,2,0,Esportiva
