Time,Partidas,Vitórias,Derrotas,Empates,Gols Marcados,Pontuação,Percentual Vitórias,Percentual Empates,Percentual Derrotas,Aproveitamento
Palmeiras,80,46,13,21,113,113,57.49999999999999,26.25,16.25,70.625
São Paulo,76,42,19,15,123,99,55.26315789473685,19.736842105263158,25.0,65.13157894736842
Corinthians,75,37,15,23,95,97,49.333333333333336,30.666666666666664,20.0,64.66666666666666
Red Bull,18,8,3,7,21,23,44.44444444444444,38.88888888888889,16.666666666666664,63.888888888888886
Red Bull Bragantino,62,28,19,15,80,71,45.16129032258064,24.193548387096776,30.64516129032258,57.25806451612904
Água Santa,30,12,8,10,31,34,40.0,33.33333333333333,26.666666666666668,56.666666666666664
São Bernardo,19,9,7,3,22,21,47.368421052631575,15.789473684210526,36.84210526315789,55.26315789473685
Mirassol,59,20,20,19,69,59,33.89830508474576,32.20338983050847,33.89830508474576,50.0
Ferroviária-SP,57,16,16,25,68,57,28.07017543859649,43.859649122807014,28.07017543859649,50.0
Novorizontino,48,14,16,18,52,46,29.166666666666668,37.5,33.33333333333333,47.91666666666667
Santos,63,18,24,21,71,57,28.57142857142857,33.33333333333333,38.095238095238095,45.23809523809524
Ituano,59,20,27,12,68,52,33.89830508474576,20.33898305084746,45.76271186440678,44.06779661016949
Botafogo-SP,58,17,25,16,52,50,29.310344827586203,27.586206896551722,43.103448275862064,43.103448275862064
Guarani,48,15,22,11,52,41,31.25,22.916666666666664,45.83333333333333,42.70833333333333
Inter de Limeira,39,13,20,6,27,32,33.33333333333333,15.384615384615385,51.28205128205128,41.02564102564102
Ponte Preta,47,12,23,12,44,36,25.53191489361702,25.53191489361702,48.93617021276596,38.297872340425535
Santo André,48,11,23,14,38,36,22.916666666666664,29.166666666666668,47.91666666666667,37.5
Linense,8,1,3,4,11,6,12.5,50.0,37.5,37.5
Oeste,17,4,10,3,18,11,23.52941176470588,17.647058823529413,58.82352941176471,32.35294117647059
São Bento,38,5,19,14,25,24,13.157894736842104,36.84210526315789,50.0,31.57894736842105
São Caetano,30,5,17,8,20,18,16.666666666666664,26.666666666666668,56.666666666666664,30.0
Portuguesa,9,1,5,3,6,5,11.11111111111111,33.33333333333333,55.55555555555556,27.77777777777778
